Lambda,Accuracy
0,0.9576388888888889
0,0.9618055555555557
50,0.9641666666666667
100,0.9619444444444445
150,0.9608333333333334
200,0.9600000000000002
250,0.9598611111111112
300,0.9594444444444445
350,0.9597222222222221
400,0.9593055555555555
450,0.9591666666666667
500,0.95875
550,0.9586111111111111
600,0.9574999999999999
650,0.9573611111111111
700,0.9572222222222223
750,0.9572222222222223
800,0.9570833333333335
850,0.9568055555555555
900,0.95625
950,0.9558333333333333
1000,0.9556944444444444
1000,0.9556944444444444
2000,0.9501388888888889
3000,0.9481944444444445
4000,0.9444444444444444
5000,0.9415277777777777
6000,0.9398611111111113
7000,0.9386111111111111
8000,0.9368055555555556
9000,0.9354166666666666
10000,0.9345833333333331
10000,0.9345833333333331
20000,0.9275
30000,0.9213888888888888
40000,0.9179166666666667
50000,0.9161111111111111
60000,0.9134722222222221
70000,0.9105555555555556
80000,0.9090277777777777
90000,0.9072222222222222
100000,0.9055555555555556
